tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2021-08-31,1140,SAN ISIDRO Nº 04,Buenos Aires,Importado,2021,04,RURAL 5 PUERTAS,137,VOLVO,797,XC 40 T4,1,Privado,Física,SAN ISIDRO,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2017-11-01,1203,MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4),Buenos Aires,Protocolo 21,2017,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,599,GOL TREND HIGHLINE 1.6 MSI,1,Privado,Física,VILLA DE MAYO,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2013-01-14,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1982,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-10-17,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Nacional,2017,22,FURGON,07,CITROEN,CK,BERLINGO FURGON 1.6 HDI BUSINESS MIXTO,1,Privado,Física,NUEVE DE ABRIL,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-08-15,1221,PILAR Nº 2,Buenos Aires,Protocolo 21,2017,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,578,VOYAGE 1.6 MSI,2,Público,Física,PILAR,BUENOS AIRES,Masculino,1962,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2005-09-26,1230,ESCOBAR Nº 2,Buenos Aires,Protocolo 21,2005,02,SEDAN 4 PTAS,130,TOYOTA,469,COROLLA 1.8 SE-G,1,Privado,Física,ESCOBAR,BUENOS AIRES,No identificado,1953,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-04-28,1230,ESCOBAR Nº 2,Buenos Aires,Nacional,2008,17,SEDAN 4 PUERTAS,37,RENAULT,SX,KANGOO PACK PLUS 1.9,1,Privado,Física,MAQ.SAVIO ESTE,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-10-22,1230,ESCOBAR Nº 2,Buenos Aires,Nacional,2008,12,SEDAN 4 PTAS,37,RENAULT,VA,KANGOO AUTH.PLUS 1.5 DA AA CD PK 2P,1,Privado,Física,GARIN.,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-02-19,1230,ESCOBAR Nº 2,Buenos Aires,Protocolo 21,2008,28,TRACTOR DE CARRETERA,120,SCANIA,260,P310 4X2,1,Privado,Física,MATHEU-,BUENOS AIRES,Masculino,1965,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-06-20,1230,ESCOBAR Nº 2,Buenos Aires,Nacional,2008,90,MINIBUS,29,MERCEDES BENZ,AZ,SPRINTER 313 CDI/C 3550,1,Privado,Física,ESCOBAR,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
